0	-0.95	-0.86	-0.86	0	0	0	0
20	-0.83	-0.6	-0.6	-0.19	-0.31	0.017	-0.043
40	-0.6	-0.25	-0.32	-0.42	-0.67	0.05	-0.061
60	-0.34	0.3	-0.12	-0.63	-0.88	0.08	-0.057
80	-0.08	0.59	-0.04	-0.71	-0.98	0.103	-0.007
100	0.15	0.1	0.08	-0.72	-0.96	0.127	0.078
120	0.28	0.27	0.27	-0.68	-0.79	0.163	0.133
140	0.5	0.45	0.45	-0.5	-0.57	0.16	0.154
160	0.75	0.61	0.61	-0.28	-0.3	0.1	0.103
180	0.76	0.61	0.61	0	0	0	0
